iter	Logloss
0	0.6756572266
1	0.6610518799
2	0.6473359375
3	0.6322208862
4	0.6182316895
5	0.6052412109
6	0.5924706421
7	0.5806829834
8	0.5694898682
9	0.5549873657
10	0.542206665
11	0.5304369507
12	0.5207758789
13	0.5108123169
14	0.5009330139
15	0.4881282349
16	0.477522644
17	0.4678518066
18	0.4585060425
19	0.4472770996
20	0.4386348267
21	0.4295630188
22	0.4224235229
23	0.4140267334
24	0.4053752136
25	0.3988233643
26	0.3921181946
27	0.3863120728
28	0.3802300415
29	0.373557312
30	0.3654998169
31	0.3604888306
32	0.3541826477
33	0.3490968933
34	0.3444902344
35	0.3375483398
36	0.3326671448
37	0.328401886
38	0.3214767456
39	0.3152349243
40	0.3102734375
41	0.3057417603
42	0.301301239
43	0.2959364624
44	0.2900446472
45	0.2865504761
46	0.2827472534
47	0.2788877258
48	0.2741712646
49	0.2688910522
50	0.2654921265
51	0.2616794434
52	0.2579945374
53	0.2551936188
54	0.2522962646
55	0.2496478577
56	0.2459569702
57	0.2428712463
58	0.2395539703
59	0.2366642914
60	0.2340774536
61	0.2313271484
62	0.2286175537
63	0.2260079041
64	0.2238226929
65	0.2204884796
66	0.2181651306
67	0.2144095154
68	0.2107841949
69	0.2079278259
70	0.2052932739
71	0.2020691833
72	0.1996235352
73	0.1965457306
74	0.1940635681
75	0.1922628021
76	0.1901133575
77	0.1875520325
78	0.1851030426
79	0.1827513123
80	0.1807696228
81	0.1790409393
82	0.1773493652
83	0.1751834564
84	0.1735154114
85	0.1715312195
86	0.169855957
87	0.1688020935
88	0.1667789612
89	0.1648770599
90	0.1636703796
91	0.1613873901
92	0.1599789734
93	0.1579326172
94	0.1568835907
95	0.1554258118
96	0.1537096558
97	0.1519820709
98	0.1505966492
99	0.1490750885
100	0.1475944519
101	0.1462754211
102	0.1452039642
103	0.1439051819
104	0.1424849243
105	0.1415115356
106	0.1400065613
107	0.1386023254
108	0.137188858
109	0.1357053223
110	0.1345060577
111	0.1336061554
112	0.1325855408
113	0.1319393311
114	0.1307358398
115	0.1297650757
116	0.1285342255
117	0.127509201
118	0.1267911301
119	0.1255429153
120	0.1248936234
121	0.1242217865
122	0.1231620331
123	0.1223432617
124	0.1216647491
125	0.1209895325
126	0.1201999512
127	0.1195684586
128	0.1185437088
129	0.1179752655
130	0.1169195709
131	0.1161596146
132	0.1150637207
133	0.1142915344
134	0.113599205
135	0.1127429657
136	0.1123121948
137	0.111629776
138	0.1107711029
139	0.1101094437
140	0.1095989075
141	0.1089211655
142	0.1080468979
143	0.1077298431
144	0.1069799728
145	0.1065366592
146	0.1058860016
147	0.1054557343
148	0.1047826843
149	0.10407827
150	0.1035254288
151	0.1028056412
152	0.1023684692
153	0.1017536621
